Temp,MaxTemp,MinTemp,LinkMargin,timestamp
8.9375,16.2162,0.8037,48,2016-10-08T07:02:13.790Z
8.9375,16.2162,0.8037,48,2016-10-08T07:01:43.104Z
8.8250,16.2162,0.8037,48,2016-10-08T07:01:13.335Z
8.7125,16.2162,0.8037,48,2016-10-08T07:00:43.088Z
8.6000,16.2162,0.8037,48,2016-10-08T07:00:13.081Z
8.7125,16.2162,0.8037,48,2016-10-08T06:59:43.073Z
8.7125,16.2162,0.8037,48,2016-10-08T06:59:13.065Z
8.6000,16.2162,0.8037,48,2016-10-08T06:58:43.168Z
8.4875,16.2162,0.8037,48,2016-10-08T06:57:44.985Z
8.4875,16.2162,0.8037,48,2016-10-08T06:57:13.604Z
8.3750,16.2162,0.8037,48,2016-10-08T06:56:43.312Z
8.3750,16.2162,0.8037,48,2016-10-08T06:56:13.275Z
8.2625,16.2162,0.8037,48,2016-10-08T06:55:43.012Z
8.1500,16.2162,0.8037,48,2016-10-08T06:55:13.005Z
8.1500,16.2162,0.8037,48,2016-10-08T06:54:43.051Z
8.1500,16.2162,0.8037,48,2016-10-08T06:54:13.361Z
8.0375,16.2162,0.8037,48,2016-10-08T06:53:42.982Z
8.0375,16.2162,0.8037,48,2016-10-08T06:53:13.099Z
8.0375,16.2162,0.8037,48,2016-10-08T06:52:43.856Z
7.9250,16.2162,0.8037,48,2016-10-08T06:52:13.086Z
7.8125,16.2162,0.8037,48,2016-10-08T06:51:43.079Z
7.8125,16.2162,0.8037,48,2016-10-08T06:51:13.190Z
7.7000,16.2162,0.8037,48,2016-10-08T06:50:43.769Z
7.7000,16.2162,0.8037,48,2016-10-08T06:50:13.056Z
7.5875,16.2162,0.8037,48,2016-10-08T06:49:43.577Z
7.4750,16.2162,0.8037,48,2016-10-08T06:49:13.725Z
7.3625,16.2162,0.8037,48,2016-10-08T06:48:43.211Z
7.2500,16.2162,0.8037,48,2016-10-08T06:47:43.898Z
7.2500,16.2162,0.8037,48,2016-10-08T06:47:13.840Z
7.1375,16.2162,0.8037,48,2016-10-08T06:46:43.980Z
7.1375,16.2162,0.8037,48,2016-10-08T06:46:13.094Z
